icao24,wake_vortex,wake_vortex_index
344498,"<136,000kg",3.0
34754d,Heavy,0.0
4b0280,"<136,000kg",3.0
341084,Surface emergency vehicle,5.0
345615,"<136,000kg",3.0
4cad88,"<136,000kg",3.0
c06a38,Heavy,0.0
4866ee,"<136,000kg",3.0
4cadc8,Heavy,0.0
344205,Obstruction,1.0
341682,"<136,000kg",3.0
4cad3f,"<136,000kg",3.0
3420ca,"<136,000kg",3.0
4ca856,"<136,000kg",3.0
347287,"<136,000kg",3.0
406014,"<136,000kg",3.0
344108,Surface emergency vehicle,5.0
347259,Heavy,0.0
39bda5,"<136,000kg",3.0
34150e,"<136,000kg",3.0
4cae61,"<136,000kg",3.0
4d251a,"<136,000kg",3.0
4ca225,"<136,000kg",3.0
34368c,"<136,000kg",3.0
4951ce,"<136,000kg",3.0
344481,"<136,000kg",3.0
345204,"<136,000kg",3.0
3c7428,"<136,000kg",3.0
4ca622,"<136,000kg",3.0
4b1a1e,"<136,000kg",3.0
406319,"<136,000kg",3.0
34564b,Obstruction,1.0
3410d5,Obstruction,1.0
44001f,"<136,000kg",3.0
341285,Obstruction,1.0
485061,"<136,000kg",3.0
345597,"<136,000kg",3.0
3412c9,Obstruction,1.0
344107,Obstruction,1.0
342105,"<136,000kg",3.0
3415cf,"<136,000kg",3.0
48c2a3,"<136,000kg",3.0
344207,Surface emergency vehicle,5.0
34750a,"<136,000kg",3.0
4952ca,"<136,000kg",3.0
345691,"<136,000kg",3.0
4b18bb,"<136,000kg",3.0
344512,Obstruction,1.0
341344,Surface emergency vehicle,5.0
000001,Rotorcraft,6.0
39cc8b,"<136,000kg",3.0
4b1a1a,"<136,000kg",3.0
4bb066,"<136,000kg",3.0
344345,Heavy,0.0
490d07,"<34,000kg",4.0
34134d,"<136,000kg",3.0
ac21af,Heavy,0.0
4cae48,"<136,000kg",3.0
344101,Obstruction,1.0
3412d5,Obstruction,1.0
34138f,Surface emergency vehicle,5.0
06a125,Heavy,0.0
344416,"<136,000kg",3.0
48c22e,"<136,000kg",3.0
34644b,"<136,000kg",3.0
4784fd,"<34,000kg",4.0
495293,"<136,000kg",3.0
3444da,"<136,000kg",3.0
440611,"<136,000kg",3.0
020073,"<136,000kg",3.0
48c125,"<136,000kg",3.0
341215,Obstruction,1.0
40804d,"<136,000kg",3.0
407930,"<136,000kg",3.0
3440d5,Surface emergency vehicle,5.0
344513,Obstruction,1.0
39de41,"<136,000kg",3.0
4ca7b6,"<136,000kg",3.0
440484,"<136,000kg",3.0
39ceb7,"<136,000kg",3.0
3991ea,"<136,000kg",3.0
3472c1,Rotorcraft,6.0
341216,Obstruction,1.0
02019b,"<136,000kg",3.0
4d2238,"<136,000kg",3.0
495039,"<136,000kg",3.0
3475d5,"<136,000kg",3.0
34410b,Obstruction,1.0
406135,"<136,000kg",3.0
344213,"<136,000kg",3.0
345385,"<136,000kg",3.0
407cb1,"<136,000kg",3.0
48414c,,2.0
4ca9eb,"<136,000kg",3.0
346316,"<136,000kg",3.0
345350,Obstruction,1.0
3c0ca3,"<136,000kg",3.0
4d223b,"<136,000kg",3.0
34750f,"<136,000kg",3.0
347288,"<136,000kg",3.0
344217,"<136,000kg",3.0
3473cf,"<34,000kg",4.0
34620b,"<136,000kg",3.0
4cae53,"<136,000kg",3.0
34518d,Surface emergency vehicle,5.0
39d317,"<136,000kg",3.0
4951cc,"<136,000kg",3.0
34520b,Heavy,0.0
4ca80e,"<136,000kg",3.0
4ca813,"<136,000kg",3.0
020058,"<136,000kg",3.0
344417,"<136,000kg",3.0
4d22bd,"<136,000kg",3.0
345686,"<136,000kg",3.0
345543,"<136,000kg",3.0
06a2b5,Heavy,0.0
406ae3,"<136,000kg",3.0
347219,"<136,000kg",3.0
344344,Heavy,0.0
aa305f,Heavy,0.0
49514e,"<136,000kg",3.0
3412c8,Obstruction,1.0
4406f0,"<136,000kg",3.0
343654,Obstruction,1.0
346458,"<136,000kg",3.0
344209,Obstruction,1.0
407b8e,"<136,000kg",3.0
495149,"<136,000kg",3.0
495298,"<136,000kg",3.0
06a1bb,Heavy,0.0
484c9b,"<136,000kg",3.0
4952c2,"<136,000kg",3.0
407e54,"<136,000kg",3.0
347247,"<136,000kg",3.0
343406,Surface emergency vehicle,5.0
49514b,"<136,000kg",3.0
347343,Heavy,0.0
3c49e9,"<136,000kg",3.0
4bb28a,"<136,000kg",3.0
43ea2b,"<34,000kg",4.0
4d23f8,"<136,000kg",3.0
341259,Obstruction,1.0
346147,"<136,000kg",3.0
406b83,"<136,000kg",3.0
344297,"<136,000kg",3.0
780bb8,Heavy,0.0
3441cc,Obstruction,1.0
3410d6,Obstruction,1.0
495152,"<136,000kg",3.0
3455d8,"<136,000kg",3.0
4d24f1,"<136,000kg",3.0
4ca4f2,"<136,000kg",3.0
02005b,"<136,000kg",3.0
511170,"<136,000kg",3.0
34108a,Obstruction,1.0
407f8c,"<136,000kg",3.0
3441c8,Obstruction,1.0
8965f5,Heavy,0.0
39d319,"<136,000kg",3.0
344695,"<136,000kg",3.0
406cab,"<136,000kg",3.0
48414d,,2.0
342189,"<136,000kg",3.0
344106,Surface emergency vehicle,5.0
3444ce,Heavy,0.0
407f0e,"<136,000kg",3.0
345292,"<136,000kg",3.0
3441ca,Obstruction,1.0
495297,"<136,000kg",3.0
3451da,"<136,000kg",3.0
471f03,"<136,000kg",3.0
347505,"<34,000kg",4.0
407e68,"<136,000kg",3.0
34814e,Surface emergency vehicle,5.0
3441d1,Obstruction,1.0
150011,Obstruction,1.0
34444b,"<136,000kg",3.0
4d23b7,"<136,000kg",3.0
34324f,"<136,000kg",3.0
3465d9,"<136,000kg",3.0
34254b,"<34,000kg",4.0
3441c2,Obstruction,1.0
347501,"<136,000kg",3.0
484cb4,"<136,000kg",3.0
406b82,"<136,000kg",3.0
3412c4,Obstruction,1.0
34534f,Surface emergency vehicle,5.0
394a04,Heavy,0.0
3420cc,"<136,000kg",3.0
34554f,<7000kg,7.0
8964fb,Heavy,0.0
344104,Surface emergency vehicle,5.0
424b80,"<136,000kg",3.0
73806f,"<136,000kg",3.0
342090,"<136,000kg",3.0
344109,Surface emergency vehicle,5.0
342211,"<136,000kg",3.0
39348e,"<136,000kg",3.0
ab8fd0,Heavy,0.0
342104,"<136,000kg",3.0
3445d4,"<136,000kg",3.0
345398,"<136,000kg",3.0
341099,Obstruction,1.0
4ca570,"<136,000kg",3.0
343650,"<136,000kg",3.0
4952c9,"<136,000kg",3.0
896408,Heavy,0.0
343694,"<136,000kg",3.0
341085,Obstruction,1.0
347344,"<136,000kg",3.0
342091,"<136,000kg",3.0
4d245a,"<136,000kg",3.0
34510a,Heavy,0.0
346613,"<136,000kg",3.0
34714d,"<136,000kg",3.0
4ca4ef,"<136,000kg",3.0
02010d,"<136,000kg",3.0
34644e,"<136,000kg",3.0
34520d,"<136,000kg",3.0
4d242e,"<136,000kg",3.0
4d23b6,"<34,000kg",4.0
48c812,"<34,000kg",4.0
461faa,"<136,000kg",3.0
34108e,Obstruction,1.0
347553,"<136,000kg",3.0
4bb28d,"<136,000kg",3.0
4ca226,"<136,000kg",3.0
34250a,"<136,000kg",3.0
485788,Heavy,0.0
3c496a,"<136,000kg",3.0
346254,Obstruction,1.0
34718e,Heavy,0.0
440cf8,"<136,000kg",3.0
3451c3,Obstruction,1.0
4951ca,"<136,000kg",3.0
486648,"<136,000kg",3.0
34138b,Obstruction,1.0
495219,"<136,000kg",3.0
4ca56c,"<136,000kg",3.0
3c6491,"<136,000kg",3.0
484b6e,"<136,000kg",3.0
4ca854,"<136,000kg",3.0
44d1a1,"<136,000kg",3.0
3474da,"<136,000kg",3.0
4951d6,"<136,000kg",3.0
341284,Obstruction,1.0
344696,"<136,000kg",3.0
39d315,"<136,000kg",3.0
4d22b7,"<136,000kg",3.0
4009d9,"<136,000kg",3.0
344307,"<34,000kg",4.0
440d10,"<136,000kg",3.0
4d200f,"<136,000kg",3.0
49514a,"<136,000kg",3.0
4400f3,"<136,000kg",3.0
3c49b6,"<136,000kg",3.0
4951cb,"<136,000kg",3.0
40097c,"<136,000kg",3.0
461fa0,"<136,000kg",3.0
4080c1,,2.0
4d00ee,"<136,000kg",3.0
4d22b6,"<136,000kg",3.0
344158,"<136,000kg",3.0
3964e2,"<136,000kg",3.0
4ca56a,"<136,000kg",3.0
020057,"<136,000kg",3.0
3c6658,"<136,000kg",3.0
345388,"<136,000kg",3.0
4ca809,"<136,000kg",3.0
39bdad,"<136,000kg",3.0
407b8b,"<136,000kg",3.0
502d88,"<136,000kg",3.0
495216,"<136,000kg",3.0
4caa59,"<136,000kg",3.0
4ca24c,"<136,000kg",3.0
39ceb1,"<136,000kg",3.0
39d302,"<136,000kg",3.0
39de40,"<136,000kg",3.0
4d21a2,"<136,000kg",3.0
3c7422,"<136,000kg",3.0
4952c3,"<136,000kg",3.0
342059,"<136,000kg",3.0
3c56e7,"<136,000kg",3.0
4ca73b,"<136,000kg",3.0
440019,"<136,000kg",3.0
4853d2,"<136,000kg",3.0
495215,"<136,000kg",3.0
400e13,"<136,000kg",3.0
3c54a2,"<136,000kg",3.0
406b91,"<136,000kg",3.0
4841a9,"<136,000kg",3.0
3c0ca7,"<136,000kg",3.0
4853d4,"<136,000kg",3.0
341119,High vortex,8.0
45d065,"<136,000kg",3.0
3452c7,"<136,000kg",3.0
4951d7,"<136,000kg",3.0
4cafc2,"<136,000kg",3.0
4cae5a,"<136,000kg",3.0
344487,"<136,000kg",3.0
4841aa,"<136,000kg",3.0
34644c,"<136,000kg",3.0
4aca8f,"<136,000kg",3.0
781009,Heavy,0.0
34660b,"<136,000kg",3.0
40624e,"<136,000kg",3.0
02013a,"<136,000kg",3.0
347647,"<136,000kg",3.0
020176,"<136,000kg",3.0
495213,"<136,000kg",3.0
34610e,"<136,000kg",3.0
02005a,"<136,000kg",3.0
3472c9,"<136,000kg",3.0
4b1699,"<136,000kg",3.0
4d251b,"<136,000kg",3.0
4cadc2,"<136,000kg",3.0
39d300,"<136,000kg",3.0
49514f,"<136,000kg",3.0
3c79b9,"<136,000kg",3.0
392af3,"<136,000kg",3.0
4d2332,"<136,000kg",3.0
346107,"<136,000kg",3.0
3c496d,"<136,000kg",3.0
4d247c,"<34,000kg",4.0
34530e,"<136,000kg",3.0
4d21ea,"<136,000kg",3.0
4ca251,"<136,000kg",3.0
471f06,"<136,000kg",3.0
345218,"<136,000kg",3.0
3475d8,"<136,000kg",3.0
440219,"<136,000kg",3.0
4ca84c,"<136,000kg",3.0
347646,"<136,000kg",3.0
896357,Heavy,0.0
347309,"<136,000kg",3.0
34134e,"<136,000kg",3.0
48c224,"<136,000kg",3.0
4080ea,"<136,000kg",3.0
346183,"<136,000kg",3.0
4aca84,"<136,000kg",3.0
485a85,"<136,000kg",3.0
49d08e,"<136,000kg",3.0
347453,"<136,000kg",3.0
3c4969,"<136,000kg",3.0
4cadbf,"<136,000kg",3.0
495145,"<136,000kg",3.0
4cadfc,"<136,000kg",3.0
4ca9ed,"<136,000kg",3.0
4ca303,"<136,000kg",3.0
4d244a,"<136,000kg",3.0
4cad28,"<136,000kg",3.0
4ca801,"<136,000kg",3.0
344216,"<136,000kg",3.0
4401e9,"<136,000kg",3.0
4cc552,"<136,000kg",3.0
346612,"<136,000kg",3.0
4010ea,"<136,000kg",3.0
345698,"<136,000kg",3.0
4ca256,"<136,000kg",3.0
346391,"<136,000kg",3.0
346082,"<136,000kg",3.0
39d30e,"<136,000kg",3.0
47a1ef,"<136,000kg",3.0
480c41,Heavy,0.0
3c496e,"<136,000kg",3.0
39d308,"<136,000kg",3.0
3991e7,"<136,000kg",3.0
3c79b7,"<136,000kg",3.0
3451d9,"<136,000kg",3.0
3964ec,"<136,000kg",3.0
471f35,"<136,000kg",3.0
4cafd0,"<136,000kg",3.0
4cac56,"<136,000kg",3.0
4952c6,"<136,000kg",3.0
345692,"<136,000kg",3.0
406446,"<136,000kg",3.0
34764a,Heavy,0.0
4ca25a,"<136,000kg",3.0
348142,Obstruction,1.0
34620c,"<136,000kg",3.0
4ca565,"<136,000kg",3.0
4ca246,"<136,000kg",3.0
485a86,"<136,000kg",3.0
3451d8,"<136,000kg",3.0
4cadbb,"<136,000kg",3.0
4cac89,"<136,000kg",3.0
343386,"<136,000kg",3.0
3453c1,"<136,000kg",3.0
4ca295,"<136,000kg",3.0
4d2243,"<136,000kg",3.0
4080ad,"<136,000kg",3.0
45213e,"<136,000kg",3.0
346303,"<136,000kg",3.0
4ca9cf,"<136,000kg",3.0
3c79ba,"<136,000kg",3.0
34448d,"<136,000kg",3.0
4cadc1,"<136,000kg",3.0
4ca891,"<136,000kg",3.0
4cade2,"<136,000kg",3.0
344218,"<136,000kg",3.0
4ca8d8,"<136,000kg",3.0
4ca850,"<136,000kg",3.0
345215,"<136,000kg",3.0
392aef,"<136,000kg",3.0
4ca61f,"<136,000kg",3.0
3474ce,"<136,000kg",3.0
4952c7,"<136,000kg",3.0
4cae52,"<136,000kg",3.0
4d239d,"<136,000kg",3.0
440d93,"<136,000kg",3.0
44ce73,"<136,000kg",3.0
4d24b4,"<136,000kg",3.0
4d00f5,"<136,000kg",3.0
4b027e,"<136,000kg",3.0
4844c6,"<136,000kg",3.0
4ca8d6,"<136,000kg",3.0
342591,"<136,000kg",3.0
4ca8e6,"<136,000kg",3.0
347312,"<136,000kg",3.0
4d234a,"<136,000kg",3.0
495212,"<136,000kg",3.0
345558,"<34,000kg",4.0
4ca8d7,"<136,000kg",3.0
3964f4,"<136,000kg",3.0
4d22ba,"<136,000kg",3.0
4b8681,"<136,000kg",3.0
4d24d5,"<136,000kg",3.0
34568c,"<136,000kg",3.0
738057,"<136,000kg",3.0
4d2429,"<136,000kg",3.0
440080,"<136,000kg",3.0
344648,"<136,000kg",3.0
400b00,"<136,000kg",3.0
3c743a,"<136,000kg",3.0
4cae68,"<136,000kg",3.0
3c5424,Heavy,0.0
34745a,"<136,000kg",3.0
020124,"<136,000kg",3.0
4ca9a9,"<136,000kg",3.0
346419,Heavy,0.0
4ca4ed,"<136,000kg",3.0
3991e9,"<136,000kg",3.0
406b84,"<136,000kg",3.0
4ca95e,"<136,000kg",3.0
4075e0,"<136,000kg",3.0
a51d5d,"<34,000kg",4.0
495146,"<136,000kg",3.0
3986e2,"<136,000kg",3.0
06a1e6,Heavy,0.0
40803c,"<136,000kg",3.0
4ca9aa,"<136,000kg",3.0
3c6664,"<136,000kg",3.0
4cae6a,"<136,000kg",3.0
49d414,"<136,000kg",3.0
491316,"<34,000kg",4.0
49d232,"<136,000kg",3.0
346188,"<136,000kg",3.0
4ca564,"<136,000kg",3.0
346611,"<136,000kg",3.0
4ca892,"<136,000kg",3.0
4d2361,"<34,000kg",4.0
4952cc,"<136,000kg",3.0
4cad3b,"<136,000kg",3.0
346690,"<136,000kg",3.0
47c0d9,"<136,000kg",3.0
34754c,"<136,000kg",3.0
34660e,"<136,000kg",3.0
347245,Heavy,0.0
40812d,"<136,000kg",3.0
345304,Heavy,0.0
48c2a7,"<136,000kg",3.0
424bc5,"<34,000kg",4.0
3453cc,"<136,000kg",3.0
4d24a0,"<34,000kg",4.0
49d3d3,"<136,000kg",3.0
4cadef,"<136,000kg",3.0
440036,"<136,000kg",3.0
4866ed,"<136,000kg",3.0
06a141,Heavy,0.0
48af09,"<136,000kg",3.0
4ca9d0,"<136,000kg",3.0
3c64ae,"<136,000kg",3.0
440128,"<136,000kg",3.0
4d2500,"<136,000kg",3.0
34614f,<7000kg,7.0
342213,"<34,000kg",4.0
39ceb5,"<136,000kg",3.0
39de47,"<136,000kg",3.0
400fe0,"<136,000kg",3.0
346083,"<136,000kg",3.0
344514,Obstruction,1.0
4791a0,"<34,000kg",4.0
347307,"<136,000kg",3.0
4d220b,"<136,000kg",3.0
3c6481,"<136,000kg",3.0
392af9,"<136,000kg",3.0
4cadf4,"<136,000kg",3.0
02007d,"<136,000kg",3.0
39d304,"<136,000kg",3.0
4d2006,"<136,000kg",3.0
347691,Heavy,0.0
4d245f,"<136,000kg",3.0
4cac64,"<136,000kg",3.0
4b15ee,"<136,000kg",3.0
440117,"<136,000kg",3.0
4d236a,"<136,000kg",3.0
502cce,"<136,000kg",3.0
8963df,Heavy,0.0
440132,"<136,000kg",3.0
345041,"<136,000kg",3.0
4cadb9,"<136,000kg",3.0
34660d,"<136,000kg",3.0
4d02c0,<7000kg,7.0
4b17e5,"<136,000kg",3.0
4d03c1,Heavy,0.0
4cad3d,"<136,000kg",3.0
4cae4c,"<136,000kg",3.0
4b18f4,"<136,000kg",3.0
3c55c1,"<136,000kg",3.0
4ca4ec,"<136,000kg",3.0
4ca760,"<136,000kg",3.0
34620e,"<136,000kg",3.0
346253,Obstruction,1.0
3443d4,"<136,000kg",3.0
347311,"<136,000kg",3.0
4cac54,"<136,000kg",3.0
3964ea,"<136,000kg",3.0
4b18b8,"<136,000kg",3.0
4ba9c1,Heavy,0.0
452023,<7000kg,7.0
345250,"<136,000kg",3.0
486483,"<136,000kg",3.0
344446,"<136,000kg",3.0
4ca84a,"<136,000kg",3.0
341057,Obstruction,1.0
4d22c4,"<136,000kg",3.0
3c56ec,"<136,000kg",3.0
4080e1,"<136,000kg",3.0
4d2491,"<136,000kg",3.0
40796e,"<136,000kg",3.0
4aca81,"<136,000kg",3.0
400afe,"<136,000kg",3.0
4b1900,Heavy,0.0
440072,"<136,000kg",3.0
e80200,Heavy,0.0
471f41,"<136,000kg",3.0
06a1be,Heavy,0.0
4b1804,"<136,000kg",3.0
44b8b9,"<34,000kg",4.0
345646,"<136,000kg",3.0
3cc7fe,"<34,000kg",4.0
4951d1,"<136,000kg",3.0
347643,Heavy,0.0
3006ba,Rotorcraft,6.0
34744d,"<136,000kg",3.0
4d2224,"<136,000kg",3.0
4bb072,"<136,000kg",3.0
406c81,"<136,000kg",3.0
3465c5,Heavy,0.0
347303,"<136,000kg",3.0
345251,Heavy,0.0
48c1a6,"<136,000kg",3.0
34750b,"<136,000kg",3.0
4400b2,"<136,000kg",3.0
4cafd1,"<136,000kg",3.0
740744,"<136,000kg",3.0
458664,"<136,000kg",3.0
3c7424,"<136,000kg",3.0
407689,"<136,000kg",3.0
aaa6e4,Heavy,0.0
4ca738,"<136,000kg",3.0
39d310,"<136,000kg",3.0
346204,"<136,000kg",3.0
4aca85,"<136,000kg",3.0
345107,"<136,000kg",3.0
40751c,"<136,000kg",3.0
44d076,"<136,000kg",3.0
3c65d9,"<136,000kg",3.0
347692,Heavy,0.0
4cae56,"<136,000kg",3.0
484442,"<136,000kg",3.0
343385,"<136,000kg",3.0
4ca855,"<136,000kg",3.0
495292,"<136,000kg",3.0
020183,"<34,000kg",4.0
347306,"<136,000kg",3.0
51116f,"<136,000kg",3.0
4aca89,"<136,000kg",3.0
4ca9d4,"<136,000kg",3.0
4ca9d3,"<136,000kg",3.0
4d2346,"<136,000kg",3.0
40762c,"<136,000kg",3.0
493284,"<34,000kg",4.0
4d2420,"<136,000kg",3.0
0d09d0,Heavy,0.0
4d244c,"<136,000kg",3.0
4951d8,"<136,000kg",3.0
4080c2,"<136,000kg",3.0
347601,"<136,000kg",3.0
4d2384,"<136,000kg",3.0
4ca258,"<136,000kg",3.0
342188,"<136,000kg",3.0
704406,,2.0
495299,"<136,000kg",3.0
3c6424,"<136,000kg",3.0
4d00f4,"<136,000kg",3.0
34558e,Heavy,0.0
4cae60,"<136,000kg",3.0
4ca73a,"<136,000kg",3.0
4d242a,"<136,000kg",3.0
3c65c8,"<136,000kg",3.0
345103,Heavy,0.0
4cadfd,"<136,000kg",3.0
4cadfe,"<136,000kg",3.0
395d69,Heavy,0.0
4d223f,"<136,000kg",3.0
4d210e,"<34,000kg",4.0
34409a,"<136,000kg",3.0
4d2215,"<136,000kg",3.0
6830a5,"<136,000kg",3.0
4952c1,"<136,000kg",3.0
4bb1e2,Heavy,0.0
484130,"<136,000kg",3.0
47bfb3,"<136,000kg",3.0
3424d5,"<136,000kg",3.0
4cae59,"<136,000kg",3.0
4cad29,"<136,000kg",3.0
3c65da,"<136,000kg",3.0
39a207,"<136,000kg",3.0
345206,"<136,000kg",3.0
4d227c,"<136,000kg",3.0
345313,"<136,000kg",3.0
4bab2d,"<136,000kg",3.0
394c12,"<136,000kg",3.0
40756c,"<136,000kg",3.0
44ce75,"<136,000kg",3.0
a48fbe,Heavy,0.0
4ca24e,"<136,000kg",3.0
34110a,Obstruction,1.0
347555,Heavy,0.0
040087,Heavy,0.0
3475da,"<136,000kg",3.0
3c66ea,"<136,000kg",3.0
e80459,Heavy,0.0
3944f1,,2.0
3c65c4,"<136,000kg",3.0
4cad64,"<136,000kg",3.0
e48fd5,"<136,000kg",3.0
040172,Heavy,0.0
c03261,Heavy,0.0
34620d,"<136,000kg",3.0
4066ce,"<136,000kg",3.0
44b438,"<136,000kg",3.0
4ca804,"<136,000kg",3.0
44046d,"<136,000kg",3.0
7811a5,Heavy,0.0
392ae8,"<136,000kg",3.0
34530d,"<136,000kg",3.0
408086,"<136,000kg",3.0
440daf,"<136,000kg",3.0
4851ae,Heavy,0.0
4d21fe,"<136,000kg",3.0
344699,"<136,000kg",3.0
486491,"<136,000kg",3.0
345314,"<136,000kg",3.0
34440b,"<136,000kg",3.0
020092,"<136,000kg",3.0
34108c,Obstruction,1.0
3e1a54,<7000kg,7.0
4caddf,"<136,000kg",3.0
43ee4f,"<34,000kg",4.0
34210d,"<34,000kg",4.0
4caa60,"<136,000kg",3.0
e80448,Heavy,0.0
34535a,"<136,000kg",3.0
34740f,Heavy,0.0
4ca92b,"<136,000kg",3.0
347604,Heavy,0.0
040047,Heavy,0.0
4cadf0,"<136,000kg",3.0
346291,Heavy,0.0
3c4b35,Heavy,0.0
347659,Heavy,0.0
407bdc,"<136,000kg",3.0
4d00ed,"<136,000kg",3.0
471f73,"<136,000kg",3.0
4d228a,"<136,000kg",3.0
34454b,"<136,000kg",3.0
3c70b2,High vortex,8.0
4cade5,"<136,000kg",3.0
4d00c3,"<136,000kg",3.0
440c6f,"<136,000kg",3.0
4866df,"<136,000kg",3.0
4aca50,"<136,000kg",3.0
780c5b,Heavy,0.0
4d2300,"<136,000kg",3.0
400e14,"<136,000kg",3.0
4d2240,"<136,000kg",3.0
3c56f4,"<136,000kg",3.0
40756e,"<136,000kg",3.0
4cade4,"<136,000kg",3.0
341086,Obstruction,1.0
406540,"<136,000kg",3.0
440005,"<136,000kg",3.0
4951d9,"<136,000kg",3.0
4ca8db,"<136,000kg",3.0
407caf,"<136,000kg",3.0
4ca9ea,"<136,000kg",3.0
aace63,Heavy,0.0
39cea4,"<136,000kg",3.0
407796,"<136,000kg",3.0
49d403,"<136,000kg",3.0
4d2244,"<136,000kg",3.0
06a2eb,Heavy,0.0
4d2528,"<136,000kg",3.0
4cae92,"<136,000kg",3.0
45ab22,"<136,000kg",3.0
4952cd,"<136,000kg",3.0
3c5434,Heavy,0.0
4952cb,"<136,000kg",3.0
39cea3,"<136,000kg",3.0
020140,"<136,000kg",3.0
4401f7,"<136,000kg",3.0
4009da,"<136,000kg",3.0
406133,"<136,000kg",3.0
4892c7,"<136,000kg",3.0
440c96,"<136,000kg",3.0
4cadff,"<136,000kg",3.0
408064,"<136,000kg",3.0
40772d,"<136,000kg",3.0
346185,"<136,000kg",3.0
48520c,"<136,000kg",3.0
4ca242,"<136,000kg",3.0
44a831,"<136,000kg",3.0
484c5a,"<136,000kg",3.0
407d22,"<136,000kg",3.0
3c5433,Heavy,0.0
34520e,Heavy,0.0
8963d3,Heavy,0.0
346184,"<136,000kg",3.0
020175,"<136,000kg",3.0
405638,"<136,000kg",3.0
4ca6aa,"<136,000kg",3.0
44009e,"<136,000kg",3.0
3451d5,"<136,000kg",3.0
02012b,"<136,000kg",3.0
471f6b,"<136,000kg",3.0
4cafd3,"<136,000kg",3.0
4cad3e,"<136,000kg",3.0
3424d4,"<136,000kg",3.0
4ca762,"<136,000kg",3.0
440195,"<136,000kg",3.0
347349,Heavy,0.0
896462,Heavy,0.0
34635a,Heavy,0.0
adf64f,"<136,000kg",3.0
407739,"<136,000kg",3.0
3451cf,Heavy,0.0
4bb46e,Heavy,0.0
3462c8,Heavy,0.0
44ccc3,Heavy,0.0
896597,Heavy,0.0
346385,Heavy,0.0
346310,Heavy,0.0
346045,Heavy,0.0
347519,Heavy,0.0
347645,"<136,000kg",3.0
4cad46,Heavy,0.0
347386,Heavy,0.0
4c01e0,"<136,000kg",3.0
e80447,Heavy,0.0
440198,"<136,000kg",3.0
346386,Heavy,0.0
010154,Heavy,0.0
346181,Heavy,0.0
aa9451,Heavy,0.0
34718d,Heavy,0.0
347605,Heavy,0.0
010153,Heavy,0.0
461f65,"<136,000kg",3.0
34659a,Heavy,0.0
345685,"<136,000kg",3.0
3462c9,Heavy,0.0
347387,Heavy,0.0
3c4b2e,Heavy,0.0
344503,Heavy,0.0
4cada4,"<136,000kg",3.0
4ca704,"<136,000kg",3.0
4ca894,"<136,000kg",3.0
4b191a,Heavy,0.0
4d2115,"<34,000kg",4.0
34628d,Heavy,0.0
45d068,"<136,000kg",3.0
405d11,"<136,000kg",3.0
345109,Heavy,0.0
485a32,"<136,000kg",3.0
4d2264,"<136,000kg",3.0
471efa,"<136,000kg",3.0
48ca40,"<34,000kg",4.0
479bac,"<34,000kg",4.0
40097e,"<136,000kg",3.0
45ab21,"<136,000kg",3.0
440452,"<136,000kg",3.0
3c7981,"<136,000kg",3.0
4ca640,"<136,000kg",3.0
